,time,r,i,j,k,gyro_reading,accel_reading,torques,wheel_rates,mag_vec,body_rates,x_angle,y_angle
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
15931,15931,1.00,,,0.00,nan,nan,nan,nan,nan,nan,0.00,0.00
16138,16138,0.99,-0.04,-0.13,0.00,nan,nan,nan,nan,nan,nan,-0.09,-0.25
16346,16346,0.97,-0.10,-0.20,0.00,nan,nan,nan,nan,nan,nan,-0.20,-0.41
16551,16551,0.95,-0.13,-0.28,0.00,nan,nan,nan,nan,nan,nan,-0.30,-0.59
16760,16760,0.93,-0.16,-0.34,0.00,nan,nan,nan,nan,nan,nan,-0.40,-0.72
16966,16966,0.91,-0.17,-0.38,0.00,nan,nan,nan,nan,nan,nan,-0.44,-0.82
17173,17173,0.89,-0.17,-0.42,0.00,nan,nan,nan,nan,nan,nan,-0.48,-0.90
17381,17381,0.87,-0.16,-0.47,0.00,nan,nan,nan,nan,nan,nan,-0.50,-1.01
17587,17587,0.85,-0.15,-0.50,0.00,nan,nan,nan,nan,nan,nan,-0.52,-1.08
17795,17795,0.85,-0.15,-0.51,0.00,nan,nan,nan,nan,nan,nan,-0.53,-1.11
18003,18003,0.84,-0.15,-0.53,0.00,nan,nan,nan,nan,nan,nan,-0.57,-1.15
18209,18209,0.83,-0.14,-0.54,0.00,nan,nan,nan,nan,nan,nan,-0.56,-1.18
18417,18417,0.82,-0.13,-0.55,0.00,nan,nan,nan,nan,nan,nan,-0.54,-1.20
18624,18624,0.82,-0.14,-0.56,0.00,nan,nan,nan,nan,nan,nan,-0.57,-1.21
18831,18831,0.81,-0.13,-0.57,0.00,nan,nan,nan,nan,nan,nan,-0.58,-1.24
19039,19039,0.81,-0.13,-0.58,0.00,nan,nan,nan,nan,nan,nan,-0.59,-1.25
19245,19245,0.81,-0.12,-0.57,0.00,nan,nan,nan,nan,nan,nan,-0.56,-1.24
19452,19452,0.80,-0.12,-0.58,0.00,nan,nan,nan,nan,nan,nan,-0.58,-1.27
19661,19661,0.81,-0.12,-0.57,0.00,nan,nan,nan,nan,nan,nan,-0.57,-1.25
19867,19867,0.81,-0.12,-0.57,0.00,nan,nan,nan,nan,nan,nan,-0.55,-1.25
20075,20075,0.81,-0.12,-0.58,0.00,nan,nan,nan,nan,nan,nan,-0.56,-1.26
20281,20281,0.80,-0.11,-0.59,0.00,nan,nan,nan,nan,nan,nan,-0.57,-1.28
20488,20488,0.79,-0.11,-0.60,0.00,nan,nan,nan,nan,nan,nan,-0.58,-1.30
20697,20697,0.79,-0.11,-0.60,0.00,nan,nan,nan,nan,nan,nan,-0.61,-1.32
20902,20902,0.80,-0.11,-0.59,0.00,nan,nan,nan,nan,nan,nan,-0.58,-1.28
21110,21110,0.80,-0.11,-0.59,0.00,nan,nan,nan,nan,nan,nan,-0.56,-1.29
21318,21318,0.80,-0.10,-0.59,0.00,nan,nan,nan,nan,nan,nan,-0.54,-1.29
21525,21525,0.79,-0.10,-0.60,0.00,nan,nan,nan,nan,nan,nan,-0.54,-1.30
21733,21733,0.79,-0.09,-0.61,0.00,nan,nan,nan,nan,nan,nan,-0.53,-1.32
21939,21939,0.79,-0.09,-0.61,0.00,nan,nan,nan,nan,nan,nan,-0.53,-1.32
22146,22146,0.79,-0.09,-0.61,0.00,nan,nan,nan,nan,nan,nan,-0.53,-1.33
22353,22353,0.80,-0.11,-0.60,0.00,nan,nan,nan,nan,nan,nan,-0.57,-1.29
22560,22560,0.80,-0.12,-0.59,0.00,nan,nan,nan,nan,nan,nan,-0.59,-1.28
22768,22768,0.79,-0.11,-0.60,0.00,nan,nan,nan,nan,nan,nan,-0.58,-1.31
22976,22976,0.79,-0.11,-0.61,0.00,nan,nan,nan,nan,nan,nan,-0.60,-1.32
23182,23182,0.78,-0.10,-0.61,0.00,nan,nan,nan,nan,nan,nan,-0.59,-1.33
23391,23391,0.78,-0.10,-0.62,0.00,nan,nan,nan,nan,nan,nan,-0.59,-1.34
23597,23597,0.78,-0.09,-0.62,0.00,nan,nan,nan,nan,nan,nan,-0.59,-1.35
23803,23803,0.78,-0.09,-0.62,0.00,nan,nan,nan,nan,nan,nan,-0.59,-1.36
24011,24011,0.77,-0.08,-0.63,0.00,nan,nan,nan,nan,nan,nan,-0.61,-1.38
24217,24217,0.77,-0.09,-0.63,0.00,nan,nan,nan,nan,nan,nan,-0.64,-1.38
24425,24425,0.77,-0.09,-0.63,0.00,nan,nan,nan,nan,nan,nan,-0.63,-1.38
24634,24634,0.77,-0.08,-0.64,0.00,nan,nan,nan,nan,nan,nan,-0.64,-1.40
24840,24840,0.77,-0.09,-0.63,0.00,nan,nan,nan,nan,nan,nan,-0.64,-1.38
25048,25048,0.78,-0.11,-0.61,0.00,nan,nan,nan,nan,nan,nan,-0.63,-1.34
25254,25254,0.79,-0.11,-0.61,0.00,nan,nan,nan,nan,nan,nan,-0.63,-1.32
25461,25461,0.78,-0.10,-0.61,0.00,nan,nan,nan,nan,nan,nan,-0.59,-1.34
25669,25669,0.79,-0.10,-0.61,0.00,nan,nan,nan,nan,nan,nan,-0.58,-1.33
25875,25875,0.78,-0.09,-0.63,0.00,nan,nan,nan,nan,nan,nan,-0.61,-1.37
